,word,gain
0,no_way,0.0003334135097847746
1,plug,0.002061693744223825
2,us,8.749806587038389e-05
3,unless,0.002337269858639468
4,go,1.750529123434319e-05
5,converter,0.0003334135097847746
6,good,0.025446633004659214
7,case,0.0004912221962498631
8,excellent,0.01482881556176685
9,value,0.0005045441596158717
10,great,0.054349983721168726
11,jawbone,0.0010007220697106911
12,tied,0.0003334135097847746
13,charger,0.00036089999933652805
14,conversations,0.0010007220697106911
15,lasting,8.178439590145192e-05
16,45,0.0006669874794636987
17,minutes,0.005356677138612098
18,major,0.0006669874794636987
19,problems,0.0003281042099416709
20,!,0.00781573820149617
21,mic,0.0
22,jiggle,0.0003334135097847746
23,get,0.0004235569814438067
24,line,0.00027995393475244157
25,right,0.0006043009948328848
26,decent,0.0005045441596158717
27,volume,0.0003281042099416709
28,several,2.196966927436872e-05
29,dozen,0.0
30,hundred,0.0003334135097847746
31,contacts,8.178439590145192e-05
32,imagine,0.0010007220697106911
33,fun,0.0014941641532311145
34,sending,0.0002519501943454294
35,one,0.00019352177992093544
36,razr,4.849595944078633e-05
37,owner,8.178439590145192e-05
38,must,0.00024430792316054717
39,needless,0.0010007220697106911
40,say,0.0006043009948328848
41,wasted,0.0017751614323380238
42,money,0.005644197113591987
43,waste,0.004472653455982134
44,time,0.0002726127298851022
45,sound,0.0006629847544697975
46,quality,0.0003977046197419787
47,impressed,0.0005690576838643935
48,going,0.0006439679504242068
49,original,0.00039698368748841695
50,battery,4.885785290920097e-05
51,extended,0.0006669874794636987
52,two,2.8628748511172475e-05
53,seperated,0.0003334135097847746
54,mere,0.0003334135097847746
55,5,0.0
56,ft,0.0003334135097847746
57,started,0.002352779774901337
58,notice,0.0
59,excessive,0.0003334135097847746
60,static,0.0006669874794636987
61,garbled,0.0003334135097847746
62,headset,0.0009297714627425346
63,though,0.0004931278045550158
64,design,0.0003281042099416709
65,odd,8.178439590145192e-05
66,ear,0.00012991760575253863
67,clip,0.0002519501943454294
68,not_comfortable,0.0006669874794636987
69,highly,0.002574405680057179
70,recommend,0.005265816758116104
71,blue,0.0004641757270820168
72,tooth,0.0
73,phone,0.00016269444888505902
74,advise,0.0
75,everyone,0.0
76,not_fooled,0.0003334135097847746
77,far,0.00022595035706296507
78,works,0.010709691013582545
79,clicks,0.0003334135097847746
80,place,2.2494672802242377e-06
81,way,0.00046289205176164305
82,makes,0.0003221537511919337
83,wonder,8.178439590145192e-05
84,long,0.0
85,mechanism,0.0003334135097847746
86,last,6.059214041231886e-05
87,went,0.00010412948043125869
88,motorola's,0.0003334135097847746
89,website,0.0002519501943454294
90,followed,0.0003334135097847746
91,directions,0.0003334135097847746
92,could,0.0013581704875273992
93,not_get,8.178439590145192e-05
94,pair,0.0002519501943454294
95,bought,0.00011510096182310026
96,use,5.4251251123682565e-06
97,kindle,0.0003334135097847746
98,fire,0.0010007220697106911
99,absolutely,0.00010412948043125869
100,loved,0.007035595489678581
101,commercials,0.0003334135097847746
102,misleading,0.0003334135097847746
103,yet,0.00039698368748841695
104,run,0.0013346174414503587
105,new,0.0004453585710988417
106,bars,0.00016372957329569005
107,three,9.71530229767481e-05
108,days,0.00039698368748841695
109,without,0.00027995393475244157
110,charging,4.849595944078633e-05
111,mother,8.178439590145192e-05
112,problem,0.0036764004959288776
113,pocket,8.178439590145192e-05
114,pc,0.0010007220697106911
115,combination,8.178439590145192e-05
116,owned,0.0002519501943454294
117,7,4.849595944078633e-05
118,months,9.71530229767481e-05
119,now,5.627397157259573e-05
120,can,3.871852512693508e-05
121,best,0.008068793981456435
122,mobile,0.0006669874794636987
123,didn't_think,0.0003334135097847746
124,instructions,0.0010007220697106911
125,provided,4.849595944078633e-05
126,helpful,2.6852211384098545e-05
127,people,0.00012183586727465556
128,couldnt,0.0003334135097847746
129,hear,0.0005690576838643935
130,talk,0.0010116737625597283
131,pull,0.0002519501943454294
132,earphone,0.0003334135097847746
133,doesn't_hold,0.0003334135097847746
134,charge,0.0007577844821040625
135,simple,0.0005045441596158717
136,little,0.00017436580996110784
137,breakage,0.0003334135097847746
138,unacceptible,0.0003334135097847746
139,product,0.0006348799925466331
140,ideal,0.0003334135097847746
141,like,0.0001142635133336567
142,whose,0.0003334135097847746
143,ears,0.00016372957329569005
144,sensitive,0.0003334135097847746
145,unusable,0.0006669874794636987
146,moving,0.0002519501943454294
147,car,0.0001949537062970741
148,freeway,0.0003334135097847746
149,speed,8.178439590145192e-05
150,years,0.0033248833447916404
151,left,0.00016869919995332605
152,contract,0.0006669874794636987
153,hate,0.002671809970623551
154,well,0.004406486559588529
155,ac,0.0003334135097847746
156,included,8.178439590145192e-05
157,make,0.0006893737893867158
158,sure,8.084685986320395e-05
159,never,0.0020110885403483714
160,juice,0.0
161,highy,0.0003334135097847746
162,recommended,0.00122005459176866
163,need,0.00039698368748841695
164,least,0.0004105346428424639
165,3,0.0016558642156001557
166,mins,0.0003334135097847746
167,book,0.0003201083747333966
168,first,0.000341454578873579
169,turn,0.0005045441596158717
170,life,8.749806587038389e-05
171,short,2.196966927436872e-05
172,kept,0.00039698368748841695
173,poor,0.008721322252368213
174,performance,0.001628259242588137
175,fine,0.005095770220675533
176,680,0.0003334135097847746
177,worthless,0.0013346174414503587
178,camera,0.0006389085667084515
179,thats,0.0
180,2mp,0.0003334135097847746
181,pics,0.0003334135097847746
182,nice,0.012302880165467323
183,clear,0.002352779774901337
184,picture,0.0009298013925341797
185,not_impressed,0.002671809970623551
186,priced,0.002337269858639468
187,garbage,0.0005045441596158717
188,audio,0.00012183078167171679
189,bluetooth,0.0008907294799348486
190,features,0.0007012401226085263
191,want,0.0003221537511919337
192,mind,4.849595944078633e-05
193,gonna,0.0010007220697106911
194,buy,0.00039698368748841695
195,?,0.003951170181446306
196,arguing,0.0003334135097847746
197,verizon,0.0
198,regarding,0.0
199,dropped,0.0005045441596158717
200,calls,0.0019135795993556748
201,returned,8.178439590145192e-05
202,phones,0.0
203,seems,0.00024583601603256344
204,made,0.0005424516939596113
205,disappointed,0.004552480209606635
206,not_loud,0.0003334135097847746
207,enough,0.0004912221962498631
208,doesn't_turn,0.0003334135097847746
209,protection,8.178439590145192e-05
210,not_make,0.0
211,bulky,0.0003334135097847746
212,usable,0.0003334135097847746
213,keyboard,0.0013346174414503587
214,actually,0.0010116737625597283
215,turns,0.0
216,pda,0.0006669874794636987
217,realworld,0.0003334135097847746
218,useful,0.0003334135097847746
219,machine,8.178439590145192e-05
220,instead,0.0
221,just,0.0003681974791928111
222,neat,0.0
223,gadget,0.0006669874794636987
224,pretty,0.000847702047155785
225,sturdy,0.0016686737558584408
226,large,0.00016372957329569005
227,love,0.012228319811636301
228,thing,0.0009085518303356688
229,everything,0.000808166517893949
230,reasonable,0.000954771947023203
231,price,0.004552480209606635
232,e,0.0
233,even,0.0005737878284478581
234,stream,0.0003334135097847746
235,submerged,0.0003334135097847746
236,15,8.178439590145192e-05
237,seconds,8.178439590145192e-05
238,still,5.627397157259573e-05
239,happy,0.007372412735127454
240,510,8.178439590145192e-05
241,no_complaints,0.0006669874794636987
242,end,5.3866175097505575e-05
243,buttons,0.0005045441596158717
244,bad,0.026287140045656354
245,essentially,0.0006669874794636987
246,forget,0.0
247,microsoft's,0.0003334135097847746
248,tech,0.0006669874794636987
249,support,0.0010007220697106911
250,really,0.0006792217141265988
251,faceplates,0.0003334135097847746
252,since,4.849305734055953e-05
253,looks,0.00027995393475244157
254,elegant,0.0006669874794636987
255,cool,0.0032768972211932867
256,headphones,0.00016372957329569005
257,find,5.3866175097505575e-05
258,think,0.0008553357544350826
259,perhaps,0.0
260,purchase,0.0003281042099416709
261,seriously,1.8594872851718236e-05
262,different,0.00016869919995332605
263,hold,0.0
264,particular,0.00016372957329569005
265,angle,0.0
266,party,0.0
267,clearly,0.0013346174414503587
268,big,0.0003221537511919337
269,drawback,0.0003334135097847746
270,mp3,0.0003334135097847746
271,player,0.0020028911743618094
272,phone's,8.178439590145192e-05
273,front,0.00016372957329569005
274,cover,4.849595944078633e-05
275,let,0.0005045441596158717
276,pause,0.0003334135097847746
277,skip,0.0006669874794636987
278,songs,0.0
279,lock,0.0006669874794636987
280,week,0.0003201083747333966
281,later,0.0003201083747333966
282,activated,0.0003334135097847746
283,it,0.0
284,suddenly,0.0003334135097847746
285,died,0.0006669874794636987
286,feels,0.0003201083747333966
287,comfortable,0.0038558471039731312
288,headsets,3.454801976610078e-05
289,wear,0.00122005459176866
290,glasses,8.178439590145192e-05
291,gets,0.0006416696003406219
292,sometimes,0.00016372957329569005
293,ipods,0.0003334135097847746
294,device,0.00096009513770412
295,situations,0.0006669874794636987
296,1,0.0008907294799348486
297,doesn't_work,0.0020028911743618094
298,bmw,0.0003334135097847746
299,series,2.6852211384098545e-05
300,fairly,0.0002519501943454294
301,quiet,0.0010007220697106911
302,trouble,0.0010007220697106911
303,hearing,0.0003334135097847746
304,person,0.0002519501943454294
305,saying,0.0010007220697106911
306,choice,0.0004641757270820168
307,docking,0.0006669874794636987
308,station,0.0002519501943454294
309,home,0.0
310,work,7.838757298817e-06
311,beautiful,0.005689962069714283
312,not_buy,0.0013346174414503587
313,d807,0.0003334135097847746
314,wrongly,0.0003334135097847746
315,advertised,0.0
316,item,0.0
317,handy,0.0006669874794636987
318,lot,0.00016234268467196777
319,purchased,0.0002519501943454294
320,within,0.0003201083747333966
321,2,0.00011471212542124576
322,no_longer,0.0003334135097847746
323,working,0.0007577844821040625
324,everyday,0.0003334135097847746
325,holds,0.0004641757270820168
326,not_good,0.005409353731400834
327,bargain,0.0004641757270820168
328,packaged,0.0010007220697106911
329,arrived,0.0
330,intended,0.0003334135097847746
331,runs,0.0003334135097847746
332,quickly,0.0005045441596158717
333,worked,1.1535006572471751e-05
334,broke,0.0014941641532311145
335,6,8.178439590145192e-05
336,easy,0.0026168794712525534
337,loves,0.0013346174414503587
338,construction,8.178439590145192e-05
339,better,4.796527665384964e-06
340,boy,8.178439590145192e-05
341,cheaper,0.0006669874794636987
342,loads,8.178439590145192e-05
343,super,0.0007577844821040625
344,costs,0.0007012401226085263
345,much,0.002300723611725841
346,expect,0.0005045441596158717
347,greater,0.0003334135097847746
348,ease,8.178439590145192e-05
349,buds,0.0003334135097847746
350,play,0.0007577844821040625
351,music,0.0001286911592476292
352,dont_waste,0.0006669874794636987
353,will,0.0
354,order,0.0004105346428424639
355,plan,8.178439590145192e-05
356,found,9.508435250027425e-05
357,waaay,0.0003334135097847746
358,tried,0.0004105346428424639
359,bluetooths,0.0003334135097847746
360,listener,0.0003334135097847746
361,using,0.0003281042099416709
362,decision,0.0002519501943454294
363,integrated,0.0003334135097847746
364,seamlessly,0.0006669874794636987
365,motorola,8.084685986320395e-05
366,buyer,0.0003334135097847746
367,beware,0.0010007220697106911
368,flush,0.0003334135097847746
369,toilet,0.0003334135097847746
370,definitely,0.0009085518303356688
371,free,0.0003201083747333966
372,shipping,0.0004641757270820168
373,received,2.196966927436872e-05
374,supposedly,0.0010007220697106911
375,375,0.0003334135097847746
376,apparently,0.0006669874794636987
377,not_match,0.0010007220697106911
378,pros,8.178439590145192e-05
379,pictures,3.454801976610078e-05
380,also,0.0006568267152405882
381,styles,0.0003334135097847746
382,black,0.0001286911592476292
383,white,0.0016558642156001557
384,huge,2.196966927436872e-05
385,flaw,0.0010007220697106911
386,not_using,0.0003334135097847746
387,correctly,0.0003334135097847746
388,don't_think,0.0014941641532311145
389,350,0.0003334135097847746
390,jabra350,0.0003334135097847746
391,reception,0.00024430792316054717
392,piece,0.0028017649358007546
393,fit,0.00039698368748841695
394,although,0.00012183078167171679
395,rated,0.0013346174414503587
396,impressive,4.849595944078633e-05
397,megapixels,0.0003334135097847746
398,renders,0.0003334135097847746
399,images,0.0003334135097847746
400,fall,8.178439590145192e-05
401,expectations,8.178439590145192e-05
402,relatively,0.0
403,high,0.0
404,resolution,0.0006669874794636987
405,purcashed,0.0003334135097847746
406,not_work,0.004346937631493297
407,call,0.0003281042099416709
408,wife,4.849595944078633e-05
409,ask,0.0005045441596158717
410,slim,0.0006669874794636987
411,light,0.00039698368748841695
412,display,0.0010007220697106911
413,geeky,0.0003334135097847746
414,sex,0.0003334135097847746
415,toast,0.0006669874794636987
416,rocks,0.0013346174414503587
417,oozes,0.0003334135097847746
418,embedded,0.0003334135097847746
419,sleek,0.0006669874794636987
420,stylish,0.0003334135097847746
421,leather,0.0004641757270820168
422,fast,0.0006416696003406219
423,compromise,0.0006669874794636987
424,full,0.0
425,qwerty,0.0003334135097847746
426,basic,0.0
427,cell,0.0006416696003406219
428,number,0.0
429,keypad,0.0
430,got,0.00041320820116008683
431,around,0.0003221537511919337
432,may,0.0001999695521144318
433,completely,0.00096009513770412
434,unhappy,0.0006669874794636987
435,winner,0.0006669874794636987
436,setup,0.0010007220697106911
437,couldn't,0.00021681754794788954
438,simpler,0.0003334135097847746
439,earpieces,8.178439590145192e-05
440,jabra,0.00122005459176866
441,fits,0.002061693744223825
442,comfortably,0.0013346174414503587
443,strong,0.00039698368748841695
444,signal,0.0007012401226085263
445,iam,0.0003334135097847746
446,pleased,0.0030065116724984353
447,job,0.002719119418337468
448,done,1.6122392580197875e-05
449,basically,0.0020028911743618094
450,service,9.406433817304993e-06
451,set,0.00012183078167171679
452,weeks,4.849595944078633e-05
453,bt,8.178439590145192e-05
454,disapoinment,0.0003334135097847746
455,small,0.00021681754794788954
456,don't_even,0.0
457,realize,0.0003334135097847746
458,getting,9.71530229767481e-05
459,used,8.988439700319262e-06
460,accompanied,0.0003334135097847746
461,software,4.849595944078633e-05
462,almost,0.0006416696003406219
463,brilliant,0.002337269858639468
464,nicely,0.0003334135097847746
465,avoid,0.002945844847025203
466,damage,0.0003334135097847746
467,definitly,0.0003334135097847746
468,buyerbe,0.0003334135097847746
469,careful,0.0006669874794636987
470,majority,0.0003334135097847746
471,logitech,0.0
472,earbud,8.178439590145192e-05
473,failed,0.0013346174414503587
474,stuff,0.0004641757270820168
475,peachykeen,0.0003334135097847746
476,house,0.00012183078167171679
477,coverage,0.0006669874794636987
478,upstairs,0.0003334135097847746
479,no_coverage,0.0003334135097847746
480,basement,0.0003334135097847746
